(Unit: tick)
Process   Turnaround   Waiting   CPU Burst   I/O Burst
      0        16006        67           8           0
      1        12734         0           1       12733
      2           25         4          21           0
      3         3003         0           4        2999
      4        16544       265          87       16192
      5            4         0           3           0
      6            7         0           6           0
      7            3         0           3           0
      8          273         0          14         258
      9           56         0          56           0
     10           99         1          98           0
     11           26         0          25           0
     12           80         0          79           0
     13            3         1           2           0
     14            6         1           5           0
     15            4         0           3           0
     16         1206         1          10        1195
     17         1203       142           0        1060
     18         1902       847         100         955
     19         2633      1581         200         851
     20         3257      2211         300         745
     21         3681      2646         400         635
     22         4086      3060         500         525
     23         4395      3364         600         430
     24         4545      3529         700         316
     25         4631      3628         800         202
     26         4619      3617         900         101
     27          108       105           2           0
     28           21        15           5           0
     29            3         0           3           0
     30            3         1           2           0
     31            4         0           3           0
     32            3         1           2           0
     33            3         1           2           0
     34            4         0           3           0
     35            2         1           0           0
Average:     2366.17    696.92
Throughout: 0.22/s
